"","id","price","neighborhood","accommodates","bathrooms","bedrooms","beds","review_scores_rating","number_of_reviews","listing_url"
"65",356028,79,"Leith",3,1.5,2,2,97,29,"https://www.airbnb.com/rooms/356028"
"66",356052,85,"Leith",6,2,2,1,89,22,"https://www.airbnb.com/rooms/356052"
"67",361050,50,"Bruntsfield",2,2,1,2,98,57,"https://www.airbnb.com/rooms/361050"
"68",362653,85,"Leith",6,2,2,4,93,41,"https://www.airbnb.com/rooms/362653"
"69",363392,100,"Morningside",4,1,2,2,93,33,"https://www.airbnb.com/rooms/363392"
"70",363642,44,NA,2,2,1,1,97,67,"https://www.airbnb.com/rooms/363642"
"71",368502,85,"Old Town",2,1,1,1,96,75,"https://www.airbnb.com/rooms/368502"
"72",374301,120,"Marchmont",7,1,3,5,90,36,"https://www.airbnb.com/rooms/374301"
"73",376937,85,"Leith",6,2,2,3,92,67,"https://www.airbnb.com/rooms/376937"
"74",388297,125,NA,6,2,2,3,94,65,"https://www.airbnb.com/rooms/388297"
"75",389318,44,"Newington",2,1,1,1,97,359,"https://www.airbnb.com/rooms/389318"
"76",391558,130,"New Town",2,1,1,1,99,21,"https://www.airbnb.com/rooms/391558"
"77",391610,35,"Morningside",2,1,1,1,98,395,"https://www.airbnb.com/rooms/391610"
"78",391611,40,"Morningside",3,1,1,3,96,178,"https://www.airbnb.com/rooms/391611"
"79",395349,130,NA,4,2,2,3,98,21,"https://www.airbnb.com/rooms/395349"
"80",399593,200,"New Town",4,1,1,2,60,1,"https://www.airbnb.com/rooms/399593"
"81",404888,100,"Old Town",2,1,1,1,96,15,"https://www.airbnb.com/rooms/404888"
"82",405790,165,"Old Town",4,1,2,3,90,87,"https://www.airbnb.com/rooms/405790"
"83",408831,25,NA,2,1,1,1,97,75,"https://www.airbnb.com/rooms/408831"
"84",410181,35,"Leith",2,1,1,1,98,80,"https://www.airbnb.com/rooms/410181"
"85",410413,30,"Leith",2,1,1,1,98,249,"https://www.airbnb.com/rooms/410413"
"86",419487,85,"New Town",2,1,0,1,94,102,"https://www.airbnb.com/rooms/419487"
"87",426766,60,NA,2,1,1,1,95,74,"https://www.airbnb.com/rooms/426766"
"88",426770,45,NA,1,1,1,1,97,44,"https://www.airbnb.com/rooms/426770"
"89",428822,69,NA,4,1,2,3,99,193,"https://www.airbnb.com/rooms/428822"
"90",439136,60,NA,3,2,1,2,87,30,"https://www.airbnb.com/rooms/439136"
"91",442465,80,"Leith",2,NA,1,1,95,5,"https://www.airbnb.com/rooms/442465"
"92",447206,30,"Old Town",2,1,1,1,94,593,"https://www.airbnb.com/rooms/447206"
"93",448055,275,"West End",8,2,3,4,NA,0,"https://www.airbnb.com/rooms/448055"
"94",449075,140,"Newington",4,1,2,2,100,2,"https://www.airbnb.com/rooms/449075"
"95",449083,50,"Leith",1,1,1,1,98,37,"https://www.airbnb.com/rooms/449083"
"96",450745,90,"Newington",4,1,2,2,98,91,"https://www.airbnb.com/rooms/450745"
"97",458510,85,"New Town",2,1,1,1,97,172,"https://www.airbnb.com/rooms/458510"
"98",477901,85,"Old Town",2,1,1,1,98,137,"https://www.airbnb.com/rooms/477901"
"99",480324,112,"Leith",6,2.5,3,5,97,39,"https://www.airbnb.com/rooms/480324"
"100",481841,95,"Stockbridge",4,1,2,2,97,6,"https://www.airbnb.com/rooms/481841"
"101",485856,99,"Old Town",6,1,2,4,94,305,"https://www.airbnb.com/rooms/485856"
"102",493689,65,"Leith",2,1,1,2,95,8,"https://www.airbnb.com/rooms/493689"
"103",493769,65,"Old Town",3,1,1,1,98,355,"https://www.airbnb.com/rooms/493769"
"104",497140,67,"Haymarket",4,1,1,2,93,54,"https://www.airbnb.com/rooms/497140"
"105",500696,67,"Tollcross",3,1,1,2,93,183,"https://www.airbnb.com/rooms/500696"
"106",505153,80,"Leith",3,1,1,2,95,21,"https://www.airbnb.com/rooms/505153"
"107",506390,20,NA,2,0.5,1,1,78,176,"https://www.airbnb.com/rooms/506390"
"108",506407,15,NA,2,1,1,2,83,311,"https://www.airbnb.com/rooms/506407"
"109",509191,45,"Leith",2,NA,1,1,85,9,"https://www.airbnb.com/rooms/509191"
"110",513895,125,"West End",4,1.5,2,2,96,42,"https://www.airbnb.com/rooms/513895"
"111",514978,150,"Stockbridge",6,2.5,3,3,93,71,"https://www.airbnb.com/rooms/514978"
"112",516445,150,"Old Town",4,2,2,3,94,164,"https://www.airbnb.com/rooms/516445"
"113",517230,35,"Leith",2,1,1,1,97,153,"https://www.airbnb.com/rooms/517230"
"114",517409,200,"Old Town",4,1,2,2,100,2,"https://www.airbnb.com/rooms/517409"
"115",520802,160,"Old Town",6,2,3,3,99,39,"https://www.airbnb.com/rooms/520802"
"116",521385,150,"Old Town",4,1,1,1,99,218,"https://www.airbnb.com/rooms/521385"
"117",522004,65,"Southside",2,1,1,1,98,92,"https://www.airbnb.com/rooms/522004"
"118",523134,95,"Leith",6,1,2,4,86,196,"https://www.airbnb.com/rooms/523134"
"119",523395,59,"Leith",4,1,1,3,84,98,"https://www.airbnb.com/rooms/523395"
"120",530628,56,"West End",16,NA,5,16,87,109,"https://www.airbnb.com/rooms/530628"
"121",531292,102,"Old Town",5,1,2,3,97,363,"https://www.airbnb.com/rooms/531292"
"122",545821,39,NA,4,1,2,3,98,267,"https://www.airbnb.com/rooms/545821"
"123",551401,33,"Southside",1,1,1,1,96,136,"https://www.airbnb.com/rooms/551401"
"124",551652,65,NA,3,1,1,1,93,79,"https://www.airbnb.com/rooms/551652"
"125",551686,59,NA,3,1,1,1,94,70,"https://www.airbnb.com/rooms/551686"
"126",558907,121,"Old Town",5,1,2,4,96,40,"https://www.airbnb.com/rooms/558907"
"127",562350,189,"New Town",5,1,2,2,92,29,"https://www.airbnb.com/rooms/562350"
"128",568026,55,"Haymarket",4,1,2,3,99,317,"https://www.airbnb.com/rooms/568026"
"129",569604,182,"Old Town",4,1,1,2,88,115,"https://www.airbnb.com/rooms/569604"
"130",573745,75,"Leith",6,1,2,3,93,142,"https://www.airbnb.com/rooms/573745"
"131",579038,170,"Leith",5,1,2,4,91,10,"https://www.airbnb.com/rooms/579038"
"132",591360,100,"New Town",5,1.5,3,4,97,245,"https://www.airbnb.com/rooms/591360"
"133",592226,45,"Old Town",2,1,1,1,88,44,"https://www.airbnb.com/rooms/592226"
"134",595335,27,"Leith",2,1,1,1,98,138,"https://www.airbnb.com/rooms/595335"
"135",603443,435,"Old Town",6,1,1,5,100,2,"https://www.airbnb.com/rooms/603443"
"136",603446,315,"Old Town",5,1,2,4,96,6,"https://www.airbnb.com/rooms/603446"
"137",603493,200,"Old Town",3,1,1,2,100,2,"https://www.airbnb.com/rooms/603493"
"138",603497,229,"Old Town",3,1,1,2,100,2,"https://www.airbnb.com/rooms/603497"
"139",603498,229,"Old Town",3,1,1,2,94,1,"https://www.airbnb.com/rooms/603498"
"140",603501,190,"Old Town",3,1,1,2,90,3,"https://www.airbnb.com/rooms/603501"
"141",603502,229,"Old Town",3,1,1,2,100,1,"https://www.airbnb.com/rooms/603502"
"142",603671,515,"Old Town",10,3,4,10,98,13,"https://www.airbnb.com/rooms/603671"
"143",603672,599,"Old Town",12,3,4,12,96,11,"https://www.airbnb.com/rooms/603672"
"144",603674,880,"Old Town",16,4,4,20,94,22,"https://www.airbnb.com/rooms/603674"
"145",603726,245,"Old Town",6,2.5,3,6,92,5,"https://www.airbnb.com/rooms/603726"
"146",603996,200,"Leith",4,2,2,4,92,48,"https://www.airbnb.com/rooms/603996"
"147",604418,35,"Leith",2,1,1,1,97,38,"https://www.airbnb.com/rooms/604418"
"148",605856,150,"Cannonmills",8,2,3,8,97,154,"https://www.airbnb.com/rooms/605856"
"149",607248,99,"Cannonmills",2,1,1,1,90,371,"https://www.airbnb.com/rooms/607248"
"150",610600,160,"New Town",4,1,1,2,98,29,"https://www.airbnb.com/rooms/610600"
"151",610637,80,"Leith",4,1,1,2,92,14,"https://www.airbnb.com/rooms/610637"
"152",611124,45,"Leith",2,1,1,1,100,48,"https://www.airbnb.com/rooms/611124"
"153",612137,40,"Marchmont",2,1,1,1,97,256,"https://www.airbnb.com/rooms/612137"
"154",613382,130,"Morningside",4,1,2,2,92,180,"https://www.airbnb.com/rooms/613382"
"155",614851,65,"Tollcross",2,1,1,1,97,266,"https://www.airbnb.com/rooms/614851"
"156",615726,159,"Morningside",8,1.5,4,4,97,47,"https://www.airbnb.com/rooms/615726"
"157",615913,35,"Southside",2,1,1,1,96,50,"https://www.airbnb.com/rooms/615913"
"158",619888,70,"Old Town",2,1,1,1,96,196,"https://www.airbnb.com/rooms/619888"
"159",619889,80,"Old Town",2,1,1,1,96,207,"https://www.airbnb.com/rooms/619889"
"160",619891,70,"Old Town",2,1,1,1,94,247,"https://www.airbnb.com/rooms/619891"
"161",619892,90,"Old Town",4,1,2,3,91,202,"https://www.airbnb.com/rooms/619892"
"162",620293,80,"Stockbridge",2,1,1,2,97,111,"https://www.airbnb.com/rooms/620293"
"163",622225,100,"Newington",4,1,2,2,95,18,"https://www.airbnb.com/rooms/622225"
"164",622466,300,"Haymarket",6,2,2,5,94,43,"https://www.airbnb.com/rooms/622466"
"165",622487,300,"West End",6,2,2,6,84,18,"https://www.airbnb.com/rooms/622487"
"166",622500,150,"West End",6,2,2,5,91,96,"https://www.airbnb.com/rooms/622500"
"167",622532,300,"Cannonmills",9,2,3,7,87,124,"https://www.airbnb.com/rooms/622532"
"168",622930,85,"Southside",2,1,1,1,89,8,"https://www.airbnb.com/rooms/622930"
"169",623963,50,"Leith",3,1,1,1,98,8,"https://www.airbnb.com/rooms/623963"
"170",624492,220,"Old Town",4,1,2,2,94,34,"https://www.airbnb.com/rooms/624492"
"171",627527,55,"Cannonmills",2,1,1,1,99,242,"https://www.airbnb.com/rooms/627527"
"172",633029,80,"Stockbridge",4,1,2,2,97,107,"https://www.airbnb.com/rooms/633029"
"173",633590,65,"West End",3,1.5,1,1,97,55,"https://www.airbnb.com/rooms/633590"
"174",639079,75,"Old Town",4,1,1,2,97,177,"https://www.airbnb.com/rooms/639079"
"175",639942,90,"New Town",6,1,2,4,95,101,"https://www.airbnb.com/rooms/639942"
"176",640071,54,"Leith",4,1,2,2,99,189,"https://www.airbnb.com/rooms/640071"
"177",640398,46,"Marchmont",2,1.5,1,2,96,91,"https://www.airbnb.com/rooms/640398"
"178",641377,60,NA,2,1,1,2,96,28,"https://www.airbnb.com/rooms/641377"
"179",641458,200,"Leith",5,2,2,5,91,9,"https://www.airbnb.com/rooms/641458"
"180",641460,300,"Leith",5,2,2,5,91,64,"https://www.airbnb.com/rooms/641460"
"181",641461,250,"Leith",4,2,2,4,93,96,"https://www.airbnb.com/rooms/641461"
"182",642048,38,"Stockbridge",1,1,1,1,93,51,"https://www.airbnb.com/rooms/642048"
"183",642252,35,"Stockbridge",1,1,1,1,93,153,"https://www.airbnb.com/rooms/642252"
"184",642378,79,"Marchmont",6,1.5,2,2,91,16,"https://www.airbnb.com/rooms/642378"
"185",643693,75,"Southside",4,1,1,3,98,80,"https://www.airbnb.com/rooms/643693"
"186",645247,70,"West End",2,1.5,1,1,99,600,"https://www.airbnb.com/rooms/645247"
"187",645365,75,"Leith",6,1,2,2,88,81,"https://www.airbnb.com/rooms/645365"
"188",647855,146,"Newington",10,1,3,7,90,6,"https://www.airbnb.com/rooms/647855"
"189",651278,65,"Leith",6,2,2,3,94,155,"https://www.airbnb.com/rooms/651278"
"190",659483,70,"Old Town",4,1,2,3,89,81,"https://www.airbnb.com/rooms/659483"
"191",662778,NA,"Old Town",4,1,2,2,94,251,"https://www.airbnb.com/rooms/662778"
"192",662990,103,"Cannonmills",2,1,1,1,80,5,"https://www.airbnb.com/rooms/662990"
"193",663405,221,"Haymarket",10,2,4,8,60,5,"https://www.airbnb.com/rooms/663405"
"194",663409,230,"Haymarket",12,2,5,12,90,10,"https://www.airbnb.com/rooms/663409"
"195",668407,43,"Leith",4,1,1,2,93,210,"https://www.airbnb.com/rooms/668407"
"196",675104,60,"Marchmont",2,1,1,1,96,20,"https://www.airbnb.com/rooms/675104"
"197",681634,54,"Leith",2,1,1,2,97,109,"https://www.airbnb.com/rooms/681634"
"198",682325,54,"Leith",2,1,1,1,98,145,"https://www.airbnb.com/rooms/682325"
"199",685743,50,"Marchmont",2,1,1,1,99,36,"https://www.airbnb.com/rooms/685743"
"200",692353,130,"West End",6,1,3,3,97,127,"https://www.airbnb.com/rooms/692353"
"201",693466,49,"Southside",2,1,1,1,98,396,"https://www.airbnb.com/rooms/693466"
"202",702800,60,NA,6,2,2,6,99,266,"https://www.airbnb.com/rooms/702800"
"203",705751,80,"Haymarket",4,1,1,2,97,168,"https://www.airbnb.com/rooms/705751"
"204",706832,220,"Leith",9,2,4,5,97,140,"https://www.airbnb.com/rooms/706832"
"205",707097,128,"Old Town",10,2,3,9,90,57,"https://www.airbnb.com/rooms/707097"
"206",713446,161,"Leith",4,1,2,3,88,5,"https://www.airbnb.com/rooms/713446"
"207",715666,27,"Morningside",2,1,1,2,96,427,"https://www.airbnb.com/rooms/715666"
"208",728199,50,"Haymarket",3,1,1,1,96,231,"https://www.airbnb.com/rooms/728199"
"209",732008,160,"Haymarket",10,2,4,8,93,159,"https://www.airbnb.com/rooms/732008"
"210",732018,160,"Haymarket",10,2,4,8,93,91,"https://www.airbnb.com/rooms/732018"
"211",735521,45,"Leith",2,1,1,1,93,8,"https://www.airbnb.com/rooms/735521"
"212",738118,90,NA,3,1,1,2,96,9,"https://www.airbnb.com/rooms/738118"
"213",742986,129,"Tollcross",7,1.5,3,5,88,162,"https://www.airbnb.com/rooms/742986"
"214",744710,160,"New Town",6,1,2,2,99,163,"https://www.airbnb.com/rooms/744710"
"215",748646,149,"New Town",6,1,3,5,85,26,"https://www.airbnb.com/rooms/748646"
"216",749042,26,NA,1,1,1,1,95,55,"https://www.airbnb.com/rooms/749042"
"217",751798,88,"Old Town",4,1,2,2,94,209,"https://www.airbnb.com/rooms/751798"
"218",751841,45,"Leith",5,1,3,3,96,37,"https://www.airbnb.com/rooms/751841"
"219",751842,50,"Leith",4,1,2,2,95,4,"https://www.airbnb.com/rooms/751842"
"220",753623,60,NA,10,1.5,4,8,85,5,"https://www.airbnb.com/rooms/753623"
"221",754100,150,"Old Town",6,1,2,3,96,165,"https://www.airbnb.com/rooms/754100"
"222",759010,150,"New Town",8,1,3,5,85,69,"https://www.airbnb.com/rooms/759010"
"223",764513,50,"Leith",2,1,1,1,95,65,"https://www.airbnb.com/rooms/764513"
"224",767532,102,"Old Town",4,1,1,1,93,67,"https://www.airbnb.com/rooms/767532"
"225",768834,60,NA,2,1,1,2,97,7,"https://www.airbnb.com/rooms/768834"
"226",768875,60,NA,3,1,1,2,98,13,"https://www.airbnb.com/rooms/768875"
"227",769648,102,"Leith",5,1.5,2,2,97,36,"https://www.airbnb.com/rooms/769648"
"228",772843,60,"Old Town",5,1,1,2,85,85,"https://www.airbnb.com/rooms/772843"
"229",773926,161,NA,4,2,2,2,92,5,"https://www.airbnb.com/rooms/773926"
"230",774042,50,"Tollcross",3,1,1,2,96,39,"https://www.airbnb.com/rooms/774042"
"231",790170,160,"Leith",6,2.5,2,3,99,57,"https://www.airbnb.com/rooms/790170"
"232",793577,47,"New Town",2,1,1,1,99,241,"https://www.airbnb.com/rooms/793577"
"233",794859,70,"Stockbridge",4,1,1,1,100,1,"https://www.airbnb.com/rooms/794859"
"234",804238,100,NA,4,1,2,3,95,177,"https://www.airbnb.com/rooms/804238"
"235",804641,199,"Leith",6,1.5,2,4,95,6,"https://www.airbnb.com/rooms/804641"
"236",821573,75,"Old Town",6,1,2,1,100,1,"https://www.airbnb.com/rooms/821573"
"237",822829,245,"New Town",8,3,3,7,95,127,"https://www.airbnb.com/rooms/822829"
"238",823772,92,"Old Town",2,1,1,1,93,9,"https://www.airbnb.com/rooms/823772"
"239",834777,217,"New Town",5,2,2,3,98,20,"https://www.airbnb.com/rooms/834777"
"240",835396,140,"Marchmont",5,1,3,4,97,150,"https://www.airbnb.com/rooms/835396"
"241",835921,236,"Marchmont",8,1,4,4,87,3,"https://www.airbnb.com/rooms/835921"
"242",838551,60,"Marchmont",2,1,1,2,96,57,"https://www.airbnb.com/rooms/838551"
"243",839192,40,"Marchmont",2,1.5,1,2,94,18,"https://www.airbnb.com/rooms/839192"
"244",847909,45,NA,4,1,1,2,84,79,"https://www.airbnb.com/rooms/847909"
"245",850755,145,"New Town",4,1,2,2,100,9,"https://www.airbnb.com/rooms/850755"
"246",853803,165,"Leith",6,1,4,6,92,18,"https://www.airbnb.com/rooms/853803"
"247",856588,70,"Cannonmills",2,1,1,1,95,59,"https://www.airbnb.com/rooms/856588"
"248",860170,122,"Old Town",2,1,0,1,100,612,"https://www.airbnb.com/rooms/860170"
"249",862797,28,NA,3,2,1,2,99,58,"https://www.airbnb.com/rooms/862797"
"250",864416,30,"Old Town",2,1,1,1,95,346,"https://www.airbnb.com/rooms/864416"
"251",867520,60,"West End",2,1,1,1,100,19,"https://www.airbnb.com/rooms/867520"
"252",868144,195,"New Town",6,1.5,3,5,95,77,"https://www.airbnb.com/rooms/868144"
"253",877223,104,"Old Town",4,1,1,2,98,274,"https://www.airbnb.com/rooms/877223"
"254",883026,125,"New Town",6,2,3,5,97,215,"https://www.airbnb.com/rooms/883026"
"255",886208,100,NA,4,1,2,1,100,11,"https://www.airbnb.com/rooms/886208"
"256",893085,190,"Old Town",6,2,2,2,100,1,"https://www.airbnb.com/rooms/893085"
"257",897444,220,"Old Town",10,2,4,8,94,69,"https://www.airbnb.com/rooms/897444"
"258",897845,175,"New Town",5,1,3,3,99,124,"https://www.airbnb.com/rooms/897845"
"259",899294,110,"Leith",6,1,3,4,97,136,"https://www.airbnb.com/rooms/899294"
"260",904137,40,"Leith",4,1,1,2,92,356,"https://www.airbnb.com/rooms/904137"
"261",904992,136,"Leith",6,1,2,3,80,1,"https://www.airbnb.com/rooms/904992"
"262",907058,78,"Old Town",3,1,1,2,96,85,"https://www.airbnb.com/rooms/907058"
"263",925636,50,"Leith",2,1.5,1,1,96,64,"https://www.airbnb.com/rooms/925636"
"264",926679,100,"Cannonmills",4,1,2,2,94,172,"https://www.airbnb.com/rooms/926679"
"265",929522,32,"Leith",1,NA,1,1,99,16,"https://www.airbnb.com/rooms/929522"
"266",931452,85,NA,4,1,2,2,96,64,"https://www.airbnb.com/rooms/931452"
"267",931908,45,"Leith",2,1,1,1,95,110,"https://www.airbnb.com/rooms/931908"
"268",954594,84,"Old Town",4,1,2,2,96,196,"https://www.airbnb.com/rooms/954594"
"269",955005,95,"Old Town",5,1.5,2,4,92,176,"https://www.airbnb.com/rooms/955005"
"270",958069,55,"Southside",1,1,1,1,97,102,"https://www.airbnb.com/rooms/958069"
"271",959221,69,"Southside",2,1,1,1,98,258,"https://www.airbnb.com/rooms/959221"
"272",970087,79,"Old Town",3,1,1,1,94,127,"https://www.airbnb.com/rooms/970087"
"273",970323,130,"Leith",2,1,1,1,100,1,"https://www.airbnb.com/rooms/970323"
"274",972639,120,NA,7,1,2,4,96,41,"https://www.airbnb.com/rooms/972639"
"275",979098,120,"Leith",6,1,2,4,90,72,"https://www.airbnb.com/rooms/979098"
"276",983259,95,"Old Town",4,1,1,2,99,20,"https://www.airbnb.com/rooms/983259"
"277",984764,145,"Old Town",4,1,2,4,97,216,"https://www.airbnb.com/rooms/984764"
"278",987075,220,"New Town",5,2,3,4,97,53,"https://www.airbnb.com/rooms/987075"
"279",994272,130,"Old Town",4,2,2,3,98,37,"https://www.airbnb.com/rooms/994272"
"280",996902,35,NA,2,NA,1,NA,100,22,"https://www.airbnb.com/rooms/996902"
"281",997879,56,"Newington",2,NA,1,1,NA,1,"https://www.airbnb.com/rooms/997879"
"282",998663,39,"Morningside",2,2,1,1,99,50,"https://www.airbnb.com/rooms/998663"
"283",1003820,25,"Leith",2,1,1,1,96,53,"https://www.airbnb.com/rooms/1003820"
"284",1005982,68,"Leith",2,1,1,1,98,60,"https://www.airbnb.com/rooms/1005982"
"285",1010577,66,"Leith",2,1,1,2,76,12,"https://www.airbnb.com/rooms/1010577"
"286",1021112,63,"Leith",2,1,1,1,97,183,"https://www.airbnb.com/rooms/1021112"
"287",1034322,35,"Morningside",5,1.5,3,3,98,388,"https://www.airbnb.com/rooms/1034322"
"288",1036668,155,"Haymarket",6,1,2,2,98,32,"https://www.airbnb.com/rooms/1036668"
"289",1037544,40,NA,2,2,1,1,99,234,"https://www.airbnb.com/rooms/1037544"
"290",1042581,49,"Leith",4,1,1,2,97,38,"https://www.airbnb.com/rooms/1042581"
"291",1052246,50,"Leith",4,1.5,2,2,92,22,"https://www.airbnb.com/rooms/1052246"
"292",1054693,120,"Leith",6,1,3,3,98,12,"https://www.airbnb.com/rooms/1054693"
"293",1062976,49,"Stockbridge",2,1.5,1,1,97,20,"https://www.airbnb.com/rooms/1062976"
"294",1063926,100,"Old Town",2,1,0,1,97,144,"https://www.airbnb.com/rooms/1063926"
"295",1064939,125,"Old Town",4,2,2,3,96,205,"https://www.airbnb.com/rooms/1064939"
"296",1075867,60,"New Town",2,1,1,1,96,48,"https://www.airbnb.com/rooms/1075867"
"297",1076718,100,"Stockbridge",2,2,1,1,90,3,"https://www.airbnb.com/rooms/1076718"
"298",1081177,150,"New Town",2,1,1,1,100,10,"https://www.airbnb.com/rooms/1081177"
"299",1086477,60,NA,4,1,2,3,89,28,"https://www.airbnb.com/rooms/1086477"
"300",1089242,178,NA,6,2,2,5,NA,1,"https://www.airbnb.com/rooms/1089242"
"301",1094121,143,"Old Town",6,1,3,4,91,49,"https://www.airbnb.com/rooms/1094121"
"302",1095832,150,NA,5,1,3,4,95,24,"https://www.airbnb.com/rooms/1095832"
"303",1096500,195,"Tollcross",6,2.5,3,3,98,12,"https://www.airbnb.com/rooms/1096500"
